,rcod_persona,rcod_hogar,rmujer,r6,lnr6,rmu,rneduca,r3,redad,redadsq,rDpto,rpareja,reduca,rpobre,rmiembro,rgasto
4484,0088740081101,00887400811,0,1432.1666666666667,7.266943728085168,0,secundaria,1,44,1936,Piura,0,11.0,0,4,456.9791666666667
4485,0088740411101,00887404111,0,953.4166666666666,6.860052023912943,0,tecnica,1,32,1024,Piura,0,12.0,0,3,894.7777777777778
4486,0088740581101,00887405811,0,334.6666666666667,5.813135011583565,0,secundaria,1,68,4624,Piura,0,10.0,1,3,361.5833333333333
4487,0088741051101,00887410511,0,771.0,6.647688373563329,0,primaria,1,54,2916,Piura,0,0.0,0,5,1107.2166666666667
4488,0088741361101,00887413611,0,3557.75,8.17688360156377,0,secundaria,1,33,1089,Piura,1,11.0,0,5,681.1833333333333
4489,0088770091101,00887700911,0,1504.9166666666667,7.316492804664343,0,secundaria,1,63,3969,Piura,1,8.0,0,4,668.2083333333334
4490,0088770251101,00887702511,0,1570.5,7.359149318978702,0,secundaria,1,46,2116,Piura,1,11.0,0,7,488.3928571428571
4493,0088990051101,00889900511,0,2668.4166666666665,7.889240566755993,0,primaria,1,50,2500,Piura,1,0.0,0,4,496.375
4494,0088990411101,00889904111,0,602.8333333333334,6.401640762724043,0,primaria,1,52,2704,Piura,1,0.0,1,4,301.1041666666667
4495,0088990601101,00889906011,1,680.0833333333334,6.522215339681242,0,secundaria,1,51,2601,Piura,0,10.0,0,3,387.8888888888889
4496,0088990961101,00889909611,1,391.4166666666667,5.969772636238995,0,secundaria,1,52,2704,Piura,0,11.0,0,3,707.3611111111112
4497,0088991501101,00889915011,0,403.1666666666667,5.999350041381972,0,primaria,1,64,4096,Piura,1,4.0,1,4,158.29166666666666
4498,0089000071101,00890000711,0,850.6666666666666,6.7460203557965706,0,primaria,1,28,784,Piura,1,0.0,1,6,239.75
4499,0089000421101,00890004211,0,649.75,6.4765876735216,0,primaria,1,39,1521,Piura,1,0.0,0,5,403.5833333333333
4500,0089000611101,00890006111,0,1084.0,6.988413181999592,0,secundaria,1,37,1369,Piura,0,7.0,0,1,922.8333333333334
4501,0089000951101,00890009511,0,1412.3333333333333,7.252998461958449,0,primaria,1,56,3136,Piura,1,5.0,0,5,529.2666666666667
4502,0089001131101,00890011311,0,1310.0,7.177782416195197,0,primaria,1,31,961,Piura,1,0.0,0,4,490.9791666666667
4503,0089001481101,00890014811,0,135.33333333333334,4.907740870933623,0,primaria,1,69,4761,Piura,1,5.0,0,4,507.375
4504,0089010101101,00890101011,0,9420.25,9.15061690649638,0,secundaria,1,53,2809,Piura,1,11.0,0,8,682.7083333333334
4505,0089010391101,00890103911,0,356.1666666666667,5.875398786091092,0,secundaria,1,43,1849,Piura,1,11.0,0,4,546.0
4506,0089010542201,00890105422,0,891.6666666666666,6.793092370661997,0,secundaria,1,31,961,Piura,1,11.0,0,4,503.9583333333333
4507,0089010791101,00890107911,0,70.41666666666667,4.254429977569173,0,secundaria,1,65,4225,Piura,1,9.0,1,7,318.15476190476187
4508,0089010931101,00890109311,0,1717.8333333333333,7.448819085808737,0,Univ.,1,57,3249,Piura,1,12.0,0,5,854.3166666666666
4509,0089011191101,00890111911,0,1026.8333333333333,6.934234911786516,0,primaria,1,57,3249,Piura,1,5.0,0,6,515.5
4510,0089020031101,00890200311,0,760.9166666666666,6.63452384682834,0,primaria,1,50,2500,Piura,0,0.0,1,3,278.05555555555554
4511,0089020211101,00890202111,0,1134.5833333333333,7.03402075531986,0,primaria,1,54,2916,Piura,1,0.0,0,5,387.7833333333333
4512,0089020391101,00890203911,0,2293.6666666666665,7.73790698053437,0,tecnica,1,36,1296,Piura,1,12.0,0,4,536.2083333333334
4513,0089020741101,00890207411,0,1319.1666666666667,7.184755503087057,0,secundaria,1,39,1521,Piura,1,11.0,1,5,320.65000000000003
4514,0089021081101,00890210811,0,664.25,6.498658584639923,0,primaria,1,59,3481,Piura,1,5.0,0,3,680.5277777777777
4516,0089030361101,00890303611,1,2040.0833333333333,7.62074593567714,0,tecnica,1,42,1764,Piura,1,14.0,0,5,651.0666666666667
4517,0089030761101,00890307611,0,1601.5,7.378695969049213,0,secundaria,1,38,1444,Piura,1,8.0,0,3,495.0555555555556
4518,0089030891101,00890308911,0,2516.6666666666665,7.830690553574961,0,Univ.,1,31,961,Piura,1,16.0,0,4,575.1458333333334
4519,0089190751101,00891907511,0,240.33333333333334,5.482026848616839,0,primaria,1,66,4356,Piura,0,2.0,0,1,377.5833333333333
4521,0089190771101,00891907711,0,451.6666666666667,6.1129444446456915,0,primaria,1,41,1681,Piura,1,0.0,1,5,292.55
4523,0089192091101,00891920911,0,1855.0,7.5256399750415355,0,primaria,1,39,1521,Piura,1,0.0,0,6,413.2361111111111
4524,0089192101101,00891921011,0,1874.5833333333333,7.5361416914872725,0,primaria,1,45,2025,Piura,1,0.0,1,5,234.33333333333334
4525,0089192111101,00891921111,0,1818.6666666666667,7.5058589108551885,0,primaria,1,34,1156,Piura,1,0.0,0,5,320.73333333333335
4527,0089210251101,00892102511,0,191.5,5.2548878086207,0,primaria,1,61,3721,Piura,0,1.0,0,2,628.8333333333334
4529,0089210271101,00892102711,0,324.5,5.782285536144145,0,primaria,1,63,3969,Piura,1,4.0,0,2,389.125
4530,0089210281101,00892102811,0,1352.5,7.209710010720636,0,secundaria,1,39,1521,Piura,1,7.0,1,8,283.9166666666667
4531,0089211181101,00892111811,0,1816.0,7.504391559161238,0,secundaria,1,44,1936,Piura,1,8.0,0,8,585.7916666666666
4533,0089211201101,00892112011,0,578.5,6.360438546633731,0,primaria,1,55,3025,Piura,1,0.0,0,5,365.84999999999997
4534,0089250741101,00892507411,0,861.3333333333334,6.758481576234383,0,primaria,1,54,2916,Piura,1,0.0,0,4,524.1875
4535,0089250751101,00892507511,0,604.5833333333334,6.4045395155302876,0,primaria,1,63,3969,Piura,0,3.0,0,1,312.8333333333333
4536,0089250761101,00892507611,0,1274.75,7.1505053599352655,0,secundaria,1,69,4761,Piura,1,11.0,1,4,155.875
4537,0089251541101,00892515411,1,392.9166666666667,5.973597545279557,0,primaria,1,64,4096,Piura,0,5.0,1,2,195.625
4539,0089251561101,00892515611,0,674.5833333333334,6.514095216323735,0,secundaria,1,51,2601,Piura,1,11.0,1,8,206.41666666666666
4541,0089270051101,00892700511,0,2162.5833333333335,7.679058773709028,0,secundaria,1,67,4489,Piura,1,11.0,0,6,825.6388888888888
4542,0089270141101,00892701411,1,2314.3333333333335,7.746876948085164,0,tecnica,1,43,1849,Piura,1,14.0,0,5,463.7833333333333
4544,0089270301101,00892703011,0,1976.0833333333333,7.588872050158109,0,tecnica,1,48,2304,Piura,1,14.0,0,5,509.0833333333333
4545,0089270521101,00892705211,1,323.6666666666667,5.779714179623215,0,primaria,1,65,4225,Piura,0,5.0,0,2,415.875
4546,0089270581101,00892705811,0,60.583333333333336,4.104019827745519,0,secundaria,1,58,3364,Piura,1,11.0,0,3,438.1111111111111
4547,0089270741101,00892707411,0,879.0,6.778784897685177,0,secundaria,1,64,4096,Piura,1,11.0,0,2,1347.0833333333333
4548,0089270791101,00892707911,0,0.0,0.0,0,secundaria,1,56,3136,Piura,1,8.0,0,4,550.9583333333334
4549,0089370081101,00893700811,0,800.75,6.6855487884892675,0,primaria,1,59,3481,Piura,1,5.0,1,3,238.80555555555554
4550,0089370101101,00893701011,0,1348.1666666666667,7.206500923789898,0,secundaria,1,48,2304,Piura,1,8.0,0,3,357.97222222222223
4551,0089370921101,00893709211,1,76.91666666666667,4.342722584714852,0,primaria,1,51,2601,Piura,0,0.0,0,1,395.1666666666667
4552,0089370941101,00893709411,0,232.41666666666666,5.448531737839488,0,primaria,1,55,3025,Piura,0,3.0,0,1,728.75
4553,0089370951101,00893709511,0,544.3333333333334,6.299561804302355,0,primaria,1,66,4356,Piura,1,5.0,1,5,246.54999999999998
4554,0089370961101,00893709611,0,1028.0,6.93537044601511,0,primaria,1,58,3364,Piura,1,5.0,0,2,477.5
4557,0089380451101,00893804511,1,287.6666666666667,5.661802402415319,0,secundaria,1,27,729,Piura,0,8.0,1,2,168.0
4558,0089380471101,00893804711,1,267.0,5.58724865840025,0,primaria,1,25,625,Piura,0,0.0,1,3,152.05555555555557
4560,0089381391101,00893813911,0,182.66666666666666,5.207662998279906,0,primaria,1,28,784,Piura,0,0.0,1,6,162.93055555555557
4561,0089381421101,00893814211,0,874.1666666666666,6.773271051602342,0,primaria,1,47,2209,Piura,1,0.0,1,6,213.80555555555554
4562,0089381461101,00893814611,0,514.5,6.243195555274104,0,primaria,1,40,1600,Piura,1,0.0,1,9,173.87962962962965
4563,0089381501101,00893815011,0,741.4166666666666,6.608562770456767,0,secundaria,1,51,2601,Piura,0,8.0,0,1,483.5833333333333
4565,0089390441101,00893904411,1,1051.5833333333333,6.95805224386491,0,primaria,1,56,3136,Piura,0,0.0,0,2,368.75
4566,0089391291101,00893912911,1,862.3333333333334,6.759641893517919,0,primaria,1,63,3969,Piura,0,1.0,0,1,455.9166666666667
4567,0089391301101,00893913011,0,311.8333333333333,5.742468857046035,0,primaria,1,39,1521,Piura,1,0.0,1,10,156.54999999999998
4568,0089391311101,00893913111,1,133.5,4.894101477840304,0,primaria,1,36,1296,Piura,1,0.0,1,5,146.6
4569,0089391321101,00893913211,0,704.1666666666666,6.557015070563219,0,primaria,1,45,2025,Piura,1,0.0,0,3,375.25
4571,0089400321101,00894003211,0,525.0833333333334,6.263556980154055,0,primaria,1,58,3364,Piura,1,5.0,0,4,506.6666666666667
4573,0089401241101,00894012411,0,1352.6666666666667,7.20983323171765,0,secundaria,1,46,2116,Piura,1,11.0,0,4,380.9375
4574,0089401251101,00894012511,0,100.83333333333333,4.613468988802786,0,primaria,1,45,2025,Piura,1,0.0,0,5,283.5833333333333
4576,0089401321101,00894013211,0,562.4166666666666,6.332242974955406,0,secundaria,1,33,1089,Piura,1,11.0,1,5,273.55
4577,0089401331101,00894013311,1,1113.9166666666667,7.015637612183473,0,Univ.,1,23,529,Piura,0,15.0,0,1,1334.4166666666667
4580,0089420501101,00894205011,1,453.9166666666667,6.117913627595674,0,primaria,1,54,2916,Piura,0,0.0,1,7,233.4047619047619
4581,0089420521101,00894205211,0,495.0,6.20455776256869,0,secundaria,1,49,2401,Piura,1,9.0,1,6,166.59722222222223
4582,0089420541101,00894205411,0,432.9166666666667,6.070545253745328,0,primaria,1,35,1225,Piura,0,0.0,1,1,238.0
4583,0089420551101,00894205511,0,1114.5,7.016161152825924,0,primaria,1,37,1369,Piura,1,0.0,1,4,226.91666666666666
4584,0089480071101,00894800711,0,436.5,6.0787883752796565,0,primaria,1,45,2025,Piura,1,0.0,1,3,240.11111111111111
4585,0089480091101,00894800911,0,1260.5,7.139263746627974,0,primaria,1,64,4096,Piura,1,5.0,1,6,180.4027777777778
4586,0089480101101,00894801011,0,260.25,5.5616427074950785,0,primaria,1,45,2025,Piura,1,0.0,1,6,104.7638888888889
4587,0089480651101,00894806511,0,645.0,6.4692503167957724,0,primaria,1,59,3481,Piura,0,2.0,1,4,234.70833333333334
4588,0089480671101,00894806711,0,1478.75,7.298952415292597,0,primaria,1,42,1764,Piura,1,0.0,1,5,140.0
4592,0089530591101,00895305911,0,2526.4166666666665,7.8345572404819395,0,secundaria,1,34,1156,Piura,0,11.0,0,4,460.8958333333333
4593,0089530611101,00895306111,0,631.8333333333334,6.44862564628828,0,primaria,1,66,4356,Piura,1,5.0,0,3,463.8888888888889
4594,0089531591101,00895315911,1,497.0833333333333,6.2087576847440165,0,primaria,1,51,2601,Piura,0,0.0,0,3,331.02777777777777
4595,0089531611101,00895316111,0,327.0,5.7899601708972535,0,primaria,1,65,4225,Piura,0,3.0,0,1,942.0
4596,0089531631101,00895316311,0,258.25,5.553928107999748,0,secundaria,1,45,2025,Piura,1,9.0,0,5,322.51666666666665
4597,0089540011101,00895400111,0,479.25,6.172222381925754,0,primaria,1,35,1225,Piura,1,0.0,0,8,349.8645833333333
